word,meaning_zh,pos,phonetic_uk,phonetic_us,synonyms,rel_words,exam_level
ornamental,装饰的,"adj, n",ɔːnə'ment(ə)l,",ɔrnə'mɛntl",decorative | illuminative | decoration | trimming,ornamentally | ornament | ornamentation | ornamentalist | ornament,CET6
mount,装配,"n, vi, vt",maʊnt,maʊnt,enhance | boost | jack | hot | gain | climb | arise | raise | go up | peak | foundation plate,mounting | mounted | mounting | mounting | mounted,CET6
shipment,装载的货物；装货,n,'ʃɪpm(ə)nt,'ʃɪpmənt,loading,,CET6
can,装罐头,n,kæn,kæn,tin | debe,canned | canned,CET6
array,（美观地）排列,"n, vt",ə'reɪ,ə're,series of | clothes | thread | garment | ranging | dress oneself | rank | form,,CET6
diversion,转移；改道；娱乐,n,daɪ'vɜːʃ(ə)n; dɪ-,dəˈvɝʒən; dəˈvɝʃən; daɪˈvɝʒən; daɪˈvɝʃən,entertainment | transfer | occupation | recreation | metastasis,diverting | diversionary | divertingly | diversionist | diverting | divert | divert,CET6
convert,转变，改变，变换,"n, vi",kən'vɜːt,kən'vɝt,transform | shift | idolater | proselytizer,convertible | converted | conversion | converter | convertible | convertibility | converted,CET6
transition,转变，变迁；过渡,n,træn'zɪʃ(ə)n; trɑːn-; -'sɪʃ-,træn'zɪʃən,conversion | switching | changing,transitional | transitive | transit | transitive | transitivity | transit | transit,CET6
torque,转（力）矩，扭（力）矩,n,tɔːk,tɔrk,torgue | turning moment,torsion,CET6
box,（法庭的）专席,"n, vi",bɒks,bɑks,case | balcony | spar,boxed | boxlike | boxer | boxing | boxing | boxed,CET6
workshop,专题讨论会,n,'wɜːkʃɒp,'wɝkʃɑp,plant | proseminar,,CET6
patent,专利的,"adj, n",'pæt(ə)nt; 'peɪt(ə)nt,'pætnt,apparent | novel | transparent | decided | license | permit,patented | patentee,CET6
clutch,抓住，掌握，攫,"n, vt",klʌtʃ,klʌtʃ,control | hand | grasp | guiding | hold | grasp | noble | collar,,CET6
nest,筑巢，为…筑巢,"n, vi",nest,nɛst,soil | eyrie | nidificate,nestling | nester | nestling,CET6
coin,铸造（硬币）,"n, vt",kɒɪn,kɔɪn,invent | to create | piece | specie,coinage | coiner,CET6
noted,著名的，知名的,adj,'nəʊtɪd,'notɪd,famous | obvious | prominent | marked | outstanding,notable | noticeable | noteworthy | notably | noticeably | note | notice | notation | notable | notability | notice | note | notice,CET6
watchful,注意的，警惕的,,,,,,CET6
inject,注射；注满；喷射,vt,ɪn'dʒekt,ɪn'dʒɛkt,breathe into | inflood,injectable | injection | injector | injectable | injectant,CET6
storage,贮藏；保管,n,'stɔːrɪdʒ,'stɔrɪdʒ,warehouse | repository,stored | store | storekeeper | stored | store,CET6
position,形势；主张，立场,,pə'zɪʃ(ə)n,pə'zɪʃən,,positional | pose | positioning | posit | poser | positioner | pose | positioning | pose | posit,CET6
metropolitan,主要都市的,"adj, n",metrə'pɒlɪt(ə)n,",mɛtrə'pɑlɪtən",suzerain | archbishop,,CET6
principally,主要，大抵,adv,'prɪnsɪp(ə)lɪ,'prɪnsəpli,largely | basically | mainly | mostly | primarily,principal | principal | principalship,CET6
stalk,主茎，叶柄,"n, vi, vt",stɔːk,stɔk,stem | tracking | handle | trail | follow up on | move in on,stalked | stalker | stalked,CET6
preside,主持；主奏,"vi, vt",prɪ'zaɪd,prɪ'zaɪd,to chair | run the show | manage | conduct | run | direct | control,,CET6
eject,逐出，排斥；喷射,vt,ɪ'dʒekt,ɪ'dʒɛkt,to spray | spray on,ejector | ejection,CET6
bamboo,竹；竹杆，竹棍,adj,bæm'buː,",bæm'bu",Abo,,CET6
jewellery,珠宝，珠宝饰物,,'dʒuːəlrɪ,'dʒu:əlri,,jewelry | jewel | jeweler | jeweller | jewel,CET6
wrinkle,皱纹,"n, vi, vt",'rɪŋkl,'rɪŋkl,rugosity | plication | crease | frounce,wrinkled | wrinkly | wrinkly,CET6
axial,轴的；轴向的,adj,'æksɪəl,'æksɪəl,axile,axially,CET6
axis,轴，轴线,n,'æksɪs,'æksɪs,sheft | spindle,,CET6
ambient,周围的，包围着的,"adj, n",'æmbɪənt,'æmbɪənt,environmental | surrounding | mise en scene,ambience,CET6
periodic,周期的；一定时期的,adj,",pɪərɪ'ɒdɪk",",pɪrɪ'ɑdɪk",regular | stated | time | cyclical,period | periodical | periodically | period | periodical | periodicity,CET6
anniversary,周年纪念日,,ænɪ'vɜːs(ə)rɪ,",ænɪ'vɝsəri",,,CET6
peripheral,外围的的；末梢的,adj,pə'rɪf(ə)r(ə)l,pə'rɪfərəl,secondary | supporting | minor,peripherally | periphery,CET6
perimeter,周（边）；周长,n,pə'rɪmɪtə,pə'rɪmɪtɚ,circumference | campimeter,,CET6
anybody,重要人物,,,,,,CET6
responsible,可靠的；责任重大的,adj,rɪ'spɒnsɪb(ə)l,rɪ'spɑnsəbl,honest | reliable | tried | safe | sure,responsibly | response | responsibility | respond | responsiveness | responsion | respond | respond,CET6
consequence,重要（性），重大意义,n,'kɒnsɪkw(ə)ns,'kɑnsəkwɛns,outcome | product | result | significance | event | conclusion,consequent | consequential | consequently | consequent,CET6
category,种类，类目；范畴,n,'kætɪg(ə)rɪ,'kætəɡɔri,variety | classification | kind | manner | sort | nature,categorical | categorized | categorial | categorization | categorized | categorize | categorise,CET6
species,种，物种；种类,n,'spiːʃiːz; -ʃɪz; 'spiːs-,'spiʃiz,category | variety | manner | nature | kind,speciation | speciate,CET6
hearty,热情友好的；丰盛的,"adj, n",'hɑːtɪ,'hɑrti,devout | stuggy | guys,heartening | heartily | heart | heartiness | heart | heart,CET6
neutron,中子,,'njuːtrɒn,'nʊtrɑn,,,CET6
intermediate,中间体；调解人,"adj, n",",ɪntə'miːdɪət",",ɪntɚ'midɪət",mid | medium | middle | secondary | medium | intermediary agent,intermediary | interlocking | interlocutory | intermediately | intermediary | interlocking | intermediation | intermediator,CET6
proton,质子，氕核,n,'prəʊtɒn,'protɑn,merron | uron,,CET6
qualitative,质的；定性的,,'kwɒlɪtətɪv,'kwɑlətetɪv,,qualitatively,CET6
fabricate,捏造；制作,vt,'fæbrɪkeɪt,'fæbrɪket,manufacture | make | doctor,fabricated | fabric | fabrication | fabricator | fabricated,CET6
fabrication,捏造；制作,n,fæbrɪ'keɪʃ(ə)n,",fæbrɪ'keʃən",assembly | manufacture | machining | make | fishing,fabricated | fabric | fabricator | fabricated | fabricate,CET6
volunteer,志愿者,,",vɒlən'tɪə",",vɑlən'tɪr",,voluntary | voluntary,CET6
rebuke,指责，非难，斥责,"n, vt",rɪ'bjuːk,rɪ'bjʊk,charge | restrain | reprehension | impugnment,,CET6
indicative,指示的；陈述的,adj,ɪn'dɪkətɪv,ɪn'dɪkətɪv,symbolic | emblematic,indicant | indicatory | indicator | indication | indicant | indicate,CET6
denote,指示，意味着,vt,dɪ'nəʊt,dɪ'not,bid | bespeak,denotative | denotation,CET6
instructor,指导者，教员,n,ɪn'strʌktə,ɪn'strʌktɚ,mentor | guider,instructive | instructional | instructively | instruction | instructorship | instructress | instruct,CET6
designate,指定；指示；指明,"adj, vt",'dezɪgneɪt,'dɛzɪɡnet,specify | ticket | name | appoint | assigned | named | appointed,designated | designer | designative | designation | designer,CET6
colonial,殖民地的，殖民的,,kə'ləʊnɪəl,kə'lonɪəl,,colonist | colonialist | colony | colonist | colonization | colonialism | colonialist | colonizer | colonize | colonize,CET6
vocation,职业，行业,n,və(ʊ)'keɪʃ(ə)n,vo'keʃən,profession | employment | career | calling | pursuit | occupation,vocational | vocationally,CET6
notable,值得注意的；著名的,"adj, n",'nəʊtəb(ə)l,'notəbl,famous | obvious | remarkable | prominent | marked | personality | lion | celebrity,noted | notably | note | notation | notability | noted | note,CET6
merit,值得；应受赏（罚）,"n, vt",'merɪt,'mɛrɪt,asset | importance | virtue | price | value | to be worth | be deserving of,meritorious | merited | meritoriousness | merited,CET6
weaver,织布工，编织者,,'wiːvə,'wivɚ,,,CET6
brace,支柱,,,,,,CET6
check,支票；帐单,"n, vt",tʃek,tʃɛk,examine | inspect | review | park | prevention | cheque,checked | checker | checked | checker,CET6
second,支持,"adj, adv, n, vt",'sek(ə)nd,'sɛkənd,moment | breath | instant | encourage | back | carry | champion | support of | additional | attached | supporting | minor | peripheral | next,secondary | secondly | secondarily | secondary | seconder,CET6
bearing,方位；（机器的）承座；轴承；忍受,"n, v",'beərɪŋ,'bɛrɪŋ,relationship | connection | behavior | link | concern | swallowing,bearable | bear | bearer | bear | bear,CET6
symptom,症状；征兆，征候,,,,,,CET6
regime,政权，政体；制度,n,reɪ'ʒiːm,re'ʒim,government | power,regimen,CET6
politics,政纲，政见，策略,n,'pɒlɪtɪks,'pɑlətɪks,department of political science,political | politically | politician | polity | politicize | politick | politicize,CET6
platform,政纲，党纲，宣言,n,'plætfɔːm,'plæt'fɔrm,flatform | hathpace,,CET6
confirmation,证实，确定；确认,n,kɒnfə'meɪʃ(ə)n,",kɑnfɚ'meʃən",verification | authentication | certification | demonstration | evidence,confirmed | confirmatory | confirmable | confirmed | confirm,CET6
testify,作证；证明，证实,"vi, vt",'testɪfaɪ,'tɛstɪfaɪ,demonstrate | prove | favor | make sure | argue | seal of | give evidence of,testimonial | testimonial | testifier,CET6
audience,正式会见；拜会,n,'ɔːdɪəns,'ɔdɪəns,reader | interview,,CET6
correctly,正确地，恰当地,adv,kə'rek(t)lɪ,kə'rɛktli,properly | exactly | right,correct | corrective | corrected | correctional | correctable | correction | corrective | correctness | correctitude | corrected | correct | correct,CET6
positive,正的，阳性的；正的，正极的，阳性的；正的，正数的,adj,'pɒzɪtɪv,'pɑzətɪv,active | established | practical | actual | fixed | effective | sincere,positively | posit | positivism | positioner | positivist | positivity | positiveness | posit,CET6
normalization,正常化，标准化,n,",nɔːməlaɪ'zeɪʃən",nɔrmləˈzeʃən,standardization | formalisation,normal | normative | normotensive | normally | normal | norm | normality | normalcy | normalizer | normotensive | normothermia | normalise | normalize,CET6
sign,征兆，迹象，病症,"n, vi, vt",saɪn,saɪn,symbol | breath | evidence | mark | motion | subscribe | ink | endorse,signal | signed | signal | signage | signaling | signing | signer | signaler | signalisation | signalization | signaller | signed | signing | signal | signify | signalize | signal | signify | signalise | signalize,CET6
conqueror,征服者，胜利者,n,'kɒŋk(ə)rə(r),'kɑŋkərɚ,winner | vanquisher,conquerable | conquer | conquer,CET6
controversy,争论，辩论，争吵,n,'kɒntrəvɜːsɪ; kən'trɒvəsɪ,ˈkɑːntrəvɜːrsi,combat | debate | dispute,controversial | controversially | controvert | controvert,CET6
suppress,镇压；抑制；禁止发表；封锁；查禁,vt,sə'pres,sə'prɛs,control | restrain | stay,suppressed | suppressive | suppression | suppressant | suppressor | suppresser | suppressed,CET6
gust,阵风，一阵狂风,n,gʌst,ɡʌst,flavor | interest,gusty | gustative | gustation,CET6
clinic,诊所，医务室；会诊；会诊时间；门诊时间,n,'klɪnɪk,'klɪnɪk,ambulatorium,clinical | clinically | clinician,CET6
diagnose,诊断（疾病）,"vi, vt",'daɪəgnəʊz; -'nəʊz,",daɪəɡ'nos",tell | figure out | judge of | pass upon,diagnostic | diagnostic | diagnosis | diagnostics | diagnosing | diagnostician | diagnosing,CET6
sincerity,真诚，诚意；真实,n,sɪn'serətɪ,sɪn'sɪərəti,reality | true,sincere | sincerely,CET6
cherish,珍爱；怀有（感情）,vt,'tʃerɪʃ,'tʃɛrɪʃ,treasure | imbosom,,CET6
detective,侦探，警探；私人侦探，私家侦探,n,dɪ'tektɪv,dɪ'tɛktɪv,tec | hawkshaw,detection | detector | detect,CET6
underline,着重；强调,vt,ʌndə'laɪn,'ʌndəlaɪn,emphasize | stress | highlight,,CET6
grind,磨碎，碾碎，把...磨成粉,"n, vi, vt",graɪnd,ɡraɪnd,sharp | triturate | prey upon | lie on | milling,ground | grinding | ground | grinder | ground | ground | ground,CET6
discount,折扣,"n, vt",'dɪskaʊnt,dɪs'kaʊnt,agio | rabato | water sth. down | preach down,discounter,CET6
literally,照字义，逐字地,adv,'lɪt(ə)rəlɪ,'lɪtərəli,verbatim,literal | literatim | literalism | literalness | literalize,CET6
illuminate,照明，照亮；阐明,"vi, vt",ɪ'l(j)uːmɪneɪt,ɪ'lumɪnet,say | lamp | elucidate | clarify | light up | to shine,illuminated | illuminating | illuminated | illuminating,CET6
summon,召唤；鼓起（勇气）,vt,'sʌmən,'sʌmən,stir oneself | nerve oneself,,CET6
marsh,沼泽地，湿地,"adj, n",mɑːʃ,mɑrʃ,wetland | cienaga | palustrine | swampy,marshy,CET6
entertainment,招待，招待会,n,entə'teɪnm(ə)nt,'ɛntɚ'tenmənt,recreation | pleasure | sport | occupation | amusement,entertaining | entertaining | entertain | entertain,CET6
hindrance,障碍，妨碍,n,'hɪndr(ə)ns,'hɪndrəns,intervention | prevention | obstacle | let | bar,hinder | hinder | hinder,CET6
hose,软管；袜类（包括连裤袜、长筒袜、短袜）,"n, vt",həʊz,hoz,flexible pipe | flexible conduit | light into | belabour,,CET6
sofa,长沙发，沙发,n,'səʊfə,'sofə,lounges,,CET6
tensile,张力的；能伸长的,adj,'tensaɪl,'tɛnsl,extendible | tractile,tension | tension,CET6
warfare,战争，战争状态,n,'wɔːfeə,'wɔrfɛr,war | interference | sword | conflict | collision,warlike,CET6
battle,战斗，与…作战,"n, vi",'bæt(ə)l,'bætl,war | conflict | campaign | campaign | fight | war,battleship | battler,CET6
predominant,占优势的；主要的,adj,prɪ'dɒmɪnənt,prɪ'dɑmənənt,remarkable | excellent | primary | major | prominent,predominantly | predominance | predomination | predominate | predominate,CET6
unfold,展开；展现，呈现,"vi, vt",ʌn'fəʊld,ʌn'fold,crack | assume | open up | expand | develop,,CET6
cling,粘住；依附；坚持,vi,klɪŋ,klɪŋ,stay | stand on,,CET6
viscous,粘滞的，粘性的,adj,'vɪskəs,'vɪskəs,sticky | gummy,viscosity | viscousness,CET6
coherent,（文章、观点等）连贯的，有条理的，一致的,adj,kə(ʊ)'hɪər(ə)nt,ko'hɪrənt,united | consistent | connected | corresponding | matching,coherently | cohesion | coherence | cohesiveness | cohere,CET6
album,（收存照片或邮票的） 册子,,'ælbəm,'ælbəm,,,CET6
glue,粘牢,vt,gluː,ɡlu,conglutinate,glued | gluey | glueyness | glued,CET6
cement,粘结,"n, vt",sɪ'ment,sə'mɛnt,enhance | muscle | piece | consolidate | joint | jointing compound,cementitious | cemental,CET6
adhere,粘附；追随；坚持,vi,əd'hɪə,əd'hɪr,stay | stand on,adherent | adherence | adherent,CET6
strip,窄条，长带,"n, vt",strɪp,strɪp,shear | destitute of | belt | band,stripped | striped | stripy | stripe | stripper | stripping | striping | stripteaser | stripped | striped | stripping | striping | stripe,CET6
grasshopper,蚱蜢，蝗虫，蚂蚱,n,'grɑːshɒpə,'ɡræshɑpɚ,locust,,CET6
wink,眨眼；使眼色,"n, vi, vt",wɪŋk,wɪŋk,nictate | coruscate | moment | breath | second | instant | blink,winker,CET6
further,增进,"adj, adv, vt",'fɜːðə,'fɝðɚ,moreover | besides | also | farther | facilitate | promote | boost | improve,furthermost | furthermore | furtherance,CET6
multiplication,乘法；增加,n,",mʌltɪplɪ'keɪʃ(ə)n",'mʌltəplə'keʃən,enhancement | increase | gain | rise,multiply | multiplicative | multiplicate | multiply | multiplicatively | multiplier | multiplicative | multiplicator | multiply | multiply,CET6
liability,责任；债务,n,laɪə'bɪlɪtɪ,'laɪə'bɪləti,duty | debt | tendency | burden | trust,liable,CET6
shipbuilding,造船（业），造船学,n,,"'ʃɪp,bɪldɪŋ",newbuilding,shipbuilder | shipway,CET6
mint,造币厂；巨额钱财,"n, vt",mɪnt,mɪnt,menta | peppermint | coin,mintage | minter,CET6
hollow,凿空，挖空,"adj, adv, n, vi",'hɒləʊ,'hɑlo,empty | artificial | false | bare | vacant | hole | cavity | cavitate | thoroughly | entirely | completely | fully | tight,hollowness,CET6
hymn,赞美诗，圣歌；赞歌,n,hɪm,hɪm,spiritual | chorale,hymnal | hymnal | hymnody,CET6
glorify,赞美；颂扬（上帝）,vt,'glɔːrɪfaɪ,'ɡlɔrɪfaɪ,praise | celebrate | bless | worship | admire,glorified | gloriously | glory | glorified | glory,CET6
fore,在（或向）船头；在（或向）飞行器头部,"adj, adv",fɔː,fɔr,previous | ago | front | onwards,,CET6
therein,在那里,adv,ðeər'ɪn,",ðɛr'ɪn",wherein | among the rest,thereby | thereunder,CET6
overseas,在海外，（向）国外,"adj, adv",əʊvə'siːz,",ovɚ'siz",beyond the sea | transmarine | off-shore,,CET6
ashore,在岸上，上岸,adv,ə'ʃɔː,ə'ʃɔr,shoreward,,CET6
outside,在…外，向…外,"adj, adv, n, prep",aʊt'saɪd; 'aʊtsaɪd,",aʊt'saɪd",outer | external | out | without | surface | face | garment | without | ectad | beyond the pale,outsider,CET6
brand,在…上打烙印,"n, vt",brænd,brænd,heart | stamp | logo | label,branded | branding | branding | branded,CET6
alongside,在…旁边,adv,əlɒŋ'saɪd,ə'lɔŋ'saɪd,aside,,CET6
roam,在…漫步，漫游,"n, vi, vt",rəʊm,rom,range | knock about/around | range | go on a tour | travel | bummel,roamer,CET6
over,在（做）…时,"adj, adv, prep, vt",'əʊvə,'ovɚ,all up | upon | onto | beyond | past | up | ended | upper | closing | past | concluding | negotiate | surmount,overage | overly | overage,CET6
reproduction,再生（产）；繁殖,n,riːprə'dʌkʃ(ə)n,",riprə'dʌkʃən",generation | breeding | propagation | get,reproductive | reproducible | reproducer | reproduce | reproduce,CET6
specification,规格；明确说明，详述,n,",spesɪfɪ'keɪʃ(ə)n",'spɛsəfə'keʃən,description | amplification,specific | specified | specifiable | specific | spec | specifier | specified | specify,CET6
disastrous,灾难性的；悲惨的,adj,dɪ'zɑːstrəs,dɪ'zæstrəs,sinister | sorrowful,disastrously,CET6
operation,运算,n,ɒpə'reɪʃ(ə)n,",ɑpə'reʃən",work | manipulation,operating | operational | operative | operant | operable | operator | operative | operand | operant | operationalism | operating | operate | operate,CET6
freight,货运；运费,"n, vt",freɪt,fret,ship | transit | forward | charges | carriage,freighter | freightage,CET6
locomotive,运动的；机动,"adj, n",ləʊkə'məʊtɪv,",lokə'motɪv",moving | sport | athletic | kinetic | engine | haulage motor,loco | locomotor | locomotion | loco | locomotor | loco | locomote,CET6
lunar,月亮的,adj,'luːnə,'lunɚ,silver | argentic,lunation,CET6
undertake,从事；承诺,vt,ʌndə'teɪk,",ʌndɚ'tek",accept | pursue | address | try | offer,undertaking | undertaker | undertaking,CET6
primitive,远古的，未开化的,"adj, n",'prɪmɪtɪv,'prɪmətɪv,original | simple | crude | plain | rough | Euroman,primeval | primordial | primitively | primer | primitivism,CET6
dome,圆屋顶，拱顶,n,dəʊm,dom,cupola,domed | doming | domed | doming,CET6
cylinder,圆筒；柱（面）；汽缸,n,'sɪlɪndə,'sɪlɪndɚ,cyclinder | cylindrical surface,cylindrical,CET6
satisfactorily,圆满地,adv,",sætɪs'fæktərəlɪ",ˌsætɪs'fæktərɪlɪ,gratifyingly,satisfied | satisfactory | satisfying | satisfyingly | satisfaction | satisfier | satisfactoriness | satisfied | satisfy | satisfy,CET6
nucleus,原子核，细胞核,n,'njuːklɪəs,'nuklɪəs,core | quick,nucleonics,CET6
prototype,原型；典型，范例,n,'prəʊtətaɪp,'protə'taɪp,criterion | standard | level | norms | type,prototypical | prototypal,CET6
vowel,元音；元音字母,"adj, n",'vaʊəl,'vaʊəl,vocal | vocalic,,CET6
marshal,元帅；陆军元帅,"n, vi, vt",'mɑːʃ(ə)l,'mɑrʃəl,officiator | arrange | sort things out | arrange | form,marshall | marshall | marshall,CET6
subscription,订阅（费）；用户费（的缴纳）,n,səb'skrɪpʃ(ə)n,səb'skrɪpʃən,contribution | signing,subscriber | subscribe | subscribe,CET6
prophet,预言家，先知,n,'prɒfɪt,'prɑfɪt,advocate | farseer,prophetic | prophetically | prophecy | prophetess | prophesy | prophesy,CET6
prophecy,预言；预言能力,n,'prɒfɪsɪ,'prɑfəsi,prediction | message,prophetic | prophetically | prophet | prophetess | prophesy | prophesy,CET6
prediction,预言，预告；预报,n,prɪ'dɪkʃ(ə)n,prɪ'dɪkʃən,message | forecast,predictable | predictive | predictably | predictor | predictability | predict | predict,CET6
preset,预先装置,,priː'set,",pri'sɛt",,,CET6
beforehand,预先；提前地,"adj, adv",bɪ'fɔːhænd,bɪ'fɔrhænd,in advance | previously | ahead | ready | pre-arranged,,CET6
budget,预算；〔政府的〕,"adj, n, vt",'bʌdʒɪt,'bʌdʒɪt,spend | place in | engage | settle | low-cost | penny-a-line,budgetary,CET6
foresee,预见，预知，看穿,vt,fɔː'siː,fɔr'si,predict | think ahead,foreseeable,CET6
prevention,预防，阻止，妨碍,n,prɪ'venʃn,pri'vɛnʃən,intervention | violation | check,preventive | preventable | prevenient | preventive | prevent | prevent,CET6
tulip,郁金香,n,'tjuːlɪp,'tʊlɪp,TULIPS FRORM AMSTERDAM | Tulipa gesneriana,,CET6
intonation,语调，声调；发声,n,ɪntə'neɪʃ(ə)n,",ɪntə'neʃən",parlance,intonate,CET6
cosmic,宇宙的；广大无边的，极大的,adj,'kɒzmɪk,'kɑzmɪk,universal | mundane,cosmological | cosmogenic | cosmologic | cosmology | cosmogony | cosmographer | cosmography | cosmologist,CET6
